benchmark,compiler,bitness,optimization,runtime_seconds,spec_rate,run_id,suite
525.x264_r,ICC,64-bit,-O1,632.557545,2.768128,032,icc
531.deepsjeng_r,ICC,64-bit,-O1,335.863382,3.412102,032,icc
541.leela_r,ICC,64-bit,-O1,555.320571,2.982061,032,icc
557.xz_r,ICC,64-bit,-O1,402.19004,2.685298,032,icc
500.perlbench_r,ICC,32-bit,-O2,317.099859,5.0205,033,icc
502.gcc_r,ICC,32-bit,-O2,233.391804,6.067051,033,icc
505.mcf_r,ICC,32-bit,-O2,415.484219,3.889438,033,icc
520.omnetpp_r,ICC,32-bit,-O2,482.999194,2.716361,033,icc
523.xalancbmk_r,ICC,32-bit,-O2,230.97668,4.57189,033,icc
525.x264_r,ICC,32-bit,-O2,265.88037,6.585669,033,icc
531.deepsjeng_r,ICC,32-bit,-O2,366.180361,3.129605,033,icc
541.leela_r,ICC,32-bit,-O2,493.526189,3.355445,033,icc
557.xz_r,ICC,32-bit,-O2,336.967973,3.205052,033,icc
500.perlbench_r,ICC,64-bit,-O2,305.953206,5.20341,034,icc
502.gcc_r,ICC,64-bit,-O2,244.361737,5.794688,034,icc
505.mcf_r,ICC,64-bit,-O2,341.621907,4.730376,034,icc
520.omnetpp_r,ICC,64-bit,-O2,391.787613,3.348753,034,icc
523.xalancbmk_r,ICC,64-bit,-O2,220.205761,4.795515,034,icc
525.x264_r,ICC,64-bit,-O2,225.81327,7.754194,034,icc
531.deepsjeng_r,ICC,64-bit,-O2,293.620299,3.903,034,icc
541.leela_r,ICC,64-bit,-O2,402.242752,4.116917,034,icc
557.xz_r,ICC,64-bit,-O2,332.036643,3.252653,034,icc
500.perlbench_r,ICC,32-bit,-O3,306.82764,5.188581,035,icc
502.gcc_r,ICC,32-bit,-O3,233.707431,6.058857,035,icc
505.mcf_r,ICC,32-bit,-O3,413.50949,3.908012,035,icc
520.omnetpp_r,ICC,32-bit,-O3,501.387585,2.616738,035,icc
523.xalancbmk_r,ICC,32-bit,-O3,202.716797,5.209238,035,icc
525.x264_r,ICC,32-bit,-O3,260.758256,6.715032,035,icc
531.deepsjeng_r,ICC,32-bit,-O3,375.639982,3.050793,035,icc
541.leela_r,ICC,32-bit,-O3,513.675093,3.223828,035,icc
557.xz_r,ICC,32-bit,-O3,435.201741,2.481608,035,icc
500.perlbench_r,ICC,64-bit,-O3,367.529139,4.331629,036,icc
502.gcc_r,ICC,64-bit,-O3,275.041616,5.148312,036,icc
505.mcf_r,ICC,64-bit,-O3,369.460758,4.373942,036,icc
520.omnetpp_r,ICC,64-bit,-O3,362.591482,3.618397,036,icc
523.xalancbmk_r,ICC,64-bit,-O3,239.923101,4.40141,036,icc
525.x264_r,ICC,64-bit,-O3,250.68785,6.984782,036,icc
531.deepsjeng_r,ICC,64-bit,-O3,313.908979,3.65074,036,icc
541.leela_r,ICC,64-bit,-O3,445.433048,3.71773,036,icc
557.xz_r,ICC,64-bit,-O3,424.631562,2.543381,036,icc
